"","title","Archive_Date","position","location","url","District","Category","Broad_Category"
"2226","JROTC Army Non-Senior Military Instructor",2025-01-31,"Teacher","Rock Springs High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Uncategorized","Other"
"2227","Library Media Specialist 4-6",2025-01-31,"Teacher","District Wide","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Uncategorized","Other"
"2228","Math Teacher (2)",2025-01-31,"Teacher","Rock Springs High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Mathematics Education","STEM"
"2229","Music Teacher (2) 4-6",2025-01-31,"Teacher","District Wide","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Music Education","Music"
"2230","Music Teacher K-3",2025-01-31,"Teacher","District Wide","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Music Education","Music"
"2231","PE/Health Teacher-K-3",2025-01-31,"Teacher","District Wide","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Physical Education","Physical Education"
"2232","Science Teacher (2)",2025-01-31,"Teacher","Rock Springs High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Science Education","STEM"
"2233","Resource Teacher (2)",2025-01-31,"Teacher","Rock Springs Junior High","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Special Education","Special Education"
"2234","Resource Teacher (3)",2025-01-31,"Teacher","Rock Springs High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Special Education","Special Education"
"2235","Resource Teacher",2025-01-31,"Teacher","Walnut Elementary","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Special Education","Special Education"
"2236","Alternative Academic-Daily Living Skills Program Teacher",2025-01-31,"Teacher","Rock Springs High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Uncategorized","Other"
"2237","Elementary Teacher",2025-01-31,"Teacher","District Wide","https://www.applitrack.com/uinta/onlineapp/jobpostings/view.asp?all=1","Uinta County School District 1","Elementary Education","Elementary"
"2238","SPED Life Skills Teacher",2025-01-31,"Teacher","North Evanston Elementary","https://www.applitrack.com/uinta/onlineapp/jobpostings/view.asp?all=1","Uinta County School District 1","Special Education","Special Education"
"2239","Adapted Physical Education Teacher",2025-01-31,"Teacher","SPECIAL SERVICES CENTER","https://campbell.tedk12.com/hire/index.aspx","Campbell County Scholl District 1","Physical Education","Physical Education"
"2240","Art Teacher",2025-01-31,"Teacher","MEADOWLARK ELEMENTARY","https://campbell.tedk12.com/hire/index.aspx","Campbell County Scholl District 1","Art Teacher","Art"
"2241","English Teacher",2025-01-31,"Teacher","WESTWOOD HIGH SCHOOL","https://campbell.tedk12.com/hire/index.aspx","Campbell County Scholl District 1","English Language Arts Education","English Language Arts Secondary"
"2242","Music Teacher",2025-01-31,"Teacher","COTTONWOOD ELEMENTARY","https://campbell.tedk12.com/hire/index.aspx","Campbell County Scholl District 1","Music Education","Music"
"2243","Business Education Teacher (1/2 time) - Southeast Jr/Sr High School",2025-01-31,"Teacher","Southeast Jr - Sr High School","https://goshen.tedk12.com/hire/index.aspx#aJobListings","Goshen County School District 1","Business and Economics","CTE"
"2244","Teacher - Special Education (Lingle Ft. Laramie Elementary School)",2025-01-31,"Teacher","Lingle Ft. Laramie Elementary School","https://goshen.tedk12.com/hire/index.aspx#aJobListings","Goshen County School District 1","Special Education","Special Education"
"2245","Teacher - Band (Torrington High School & Torrington Middle School)",2025-01-31,"Teacher","Torrington Middle and High Schools","https://goshen.tedk12.com/hire/index.aspx#aJobListings","Goshen County School District 1","Music Education","Music"
"2246","Academic Interventionist [TO23] - Remainder 2024/2025 Contract Year only",2025-01-31,"Teacher","JOHNSON JUNIOR HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Uncategorized","Other"
"2247","Resource Teacher [XT21]",2025-01-31,"Teacher","BUFFALO RIDGE ELEMENTARY SCHL","https://laramie1.schoolspring.com/","Laramie County School District 1","Special Education","Special Education"
"2248","2nd Grade Spanish Dual Language Immersion Teacher",2025-01-31,"Teacher","AFFLERBACH ELEMENTARY SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Elementary Education","Elementary"
"2249","2nd Grade Spanish Dual Language Immersion Teacher",2025-01-31,"Teacher","HOBBS ELEMENTARY SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Elementary Education","Elementary"
"2250","Senior JROTC Instructor",2025-01-31,"Teacher","SOUTH HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Uncategorized","Other"
"2251","Special Needs (PALS) Teacher [XT21] - Remainder of the 2024/2025 Contract Year only",2025-01-31,"Teacher","SOUTH HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Uncategorized","Other"
"2252","Family & Consumer Science Teacher - Remainder of the 2024/2025 Contract Year Only",2025-01-31,"Teacher","SOUTH HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Science Education","STEM"
"2253","Teacher for the Deaf & Hard of Hearing",2025-01-31,"Teacher","Laramie County School District 1","https://laramie1.schoolspring.com/","Laramie County School District 1","Special Education","Special Education"
"2254","Tech Ed Teacher - Remainder 2024/2025 Contract Year Only",2025-01-31,"Teacher","SOUTH HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Uncategorized","Other"
"2255","Resource Room Teacher - Elementary - 2024/2025 Contract Year Only",2025-01-31,"Teacher","SADDLE RIDGE ELEMENTARY SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Elementary Education","Elementary"
"2256","Special Education Teacher - Affective Needs Program",2025-01-31,"Teacher","GOINS ELEMENTARY SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Special Education","Special Education"
"2257","KWHS - Marine Instructor (MI) OR Senior ROTC Marine Instructor (SMI)",2025-01-31,"Teacher","Kelly Walsh High School","https://natronaschools.schoolspring.com/","Natrona School District 1","Uncategorized","Other"
"2258","NCHS Choir Teacher beginning the 2025-26 school year",2025-01-31,"Teacher","Natrona County High School","https://natronaschools.schoolspring.com/","Natrona School District 1","Uncategorized","Other"
"2259","NCHS World Language French Classroom Teacher beginning the 2025-26 school year",2025-01-31,"Teacher","Natrona County High School","https://natronaschools.schoolspring.com/","Natrona School District 1","Language Education","Lanugage"
"2260","Centennial Spanish Dual Language Immersion Teacher beginning the 2025-2026 School Year",2025-01-31,"Teacher","Centennial Middle School","https://natronaschools.schoolspring.com/","Natrona School District 1","Language Education","Lanugage"
"2261","Special Education Teacher",2025-01-31,"Teacher","LARAMIE COUNTY SD #2","https://laramie2.schoolspring.com/","Laramie County School District 2","Special Education","Special Education"
"2262","Foreign Language Teacher 2025-2026 school year",2025-01-31,"Teacher","Burns Jr./Sr. High School","https://laramie2.schoolspring.com/","Laramie County School District 2","Language Education","Lanugage"
"2263","ELEMENTARY TEACHER (ACADEMIC INTERVENTION)",2025-01-31,"Teacher","WILLOW CREEK","https://fremont25.schoolspring.com/","Fremont County School District 25","Elementary Education","Elementary"
"2264","FRONTIER ACADEMY TEACHER (ELA or SOCIAL STUDIES)",2025-01-31,"Teacher","FRONTIER ACADEMY","https://fremont25.schoolspring.com/","Fremont County School District 25","English Language Arts Education","English Language Arts Secondary"
"2265","FRONTIER ACADEMY HIGH SCHOOL TEACHER (MATH)",2025-01-31,"Teacher","FRONTIER ACADEMY","https://fremont25.schoolspring.com/","Fremont County School District 25","Mathematics Education","STEM"
"2266","ELEMENTARY TEACHER (2ND GRADE)",2025-01-31,"Teacher","Fremont County School District 25","https://fremont25.schoolspring.com/","Fremont County School District 25","Elementary Education","Elementary"
"2267","ELEMENTARY TEACHER (3RD GRADE)",2025-01-31,"Teacher","Fremont County School District 25","https://fremont25.schoolspring.com/","Fremont County School District 25","Elementary Education","Elementary"
"2268","ELEMENTARY TEACHER (5TH GRADE)",2025-01-31,"Teacher","Fremont County School District 25","https://fremont25.schoolspring.com/","Fremont County School District 25","Elementary Education","Elementary"
"2269","HIGH SCHOOL TEACHER (MATH)",2025-01-31,"Teacher","RIVERTON HIGH SCHOOL","https://fremont25.schoolspring.com/","Fremont County School District 25","Mathematics Education","STEM"
"2270","HIGH SCHOOL TEACHER (SCIENCE)",2025-01-31,"Teacher","RIVERTON HIGH SCHOOL","https://fremont25.schoolspring.com/","Fremont County School District 25","Science Education","STEM"
"2271","ELEMENTARY TEACHER",2025-01-31,"Teacher","Fremont County School District 25","https://fremont25.schoolspring.com/","Fremont County School District 25","Elementary Education","Elementary"
"2272","Teacher",2025-01-31,"Teacher","Sade Elementary","https://www.acsd1.org/page/careers","Albany Count School District 1","Uncategorized","Other"
"2273","Teacher",2025-01-31,"Teacher","Slade Elementary","https://www.acsd1.org/page/careers","Albany Count School District 1","Uncategorized","Other"
"2274","Elementary Teacher",2025-01-31,"Teacher","District","https://www.growingluskleaders.org/page/human-resources","Niobrara County School District 1","Elementary Education","Elementary"
"2275","Art Teacher K-12",2025-01-31,"Teacher","District","https://www.growingluskleaders.org/page/human-resources","Niobrara County School District 1","Art Teacher","Art"
"2276","Special Education Supervisor/Teacher",2025-01-31,"Teacher","District","https://www.park16.k12.wy.us/43965_1","Park County School District 16","Special Education","Special Education"
"2277","Certified English/ Reading Interventionist",2025-01-31,"Teacher","Wheatland Middle School","https://www.platte1.org/377683_4","Platte County School District 1","English Language Arts Education","English Language Arts Secondary"
"2278","Elemenatary Art Teacher",2025-01-31,"Teacher","District","https://www.sub1.org/en-US/employment-and-human-resources-f26202d3","Sublette County School District 1","Art Teacher","Art"
"2279","K-12 Special Education Teacher (Open Unitl Filled)",2025-01-31,"Teacher","District","https://www.uinta4.com/departments/business_office/job_opportunities/current_openings","Uinta County School District 4","Special Education","Special Education"
"2280","Agriculture Teacher - FFA Sponsor",2025-02-07,"Teacher","Greybull High School","https://www.applitrack.com/bighorn/onlineapp/default.aspx?all=1","Big Horn School District 3","Agriculture Education","CTE"
"2281","Special Education Teacher - Resource/Life Skills",2025-02-07,"Teacher","Greybull High School","https://www.applitrack.com/bighorn/onlineapp/default.aspx?all=1","Big Horn School District 3","Special Education","Special Education"
"2282","K-12 Art Teacher",2025-02-07,"Teacher","Riverside High School","https://www.applitrack.com/bgh4/onlineapp/default.aspx?all=1","Big Horn School District 4","Art Teacher","Art"
"2283","STEM Teacher",2025-02-07,"Teacher","Rawlins Elementary School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","STEM Teacher","STEM"
"2284","Primary Elementary Teacher",2025-02-07,"Teacher","Rawlins Elementary School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Elementary Education","Elementary"
"2285","Part Time Pre-K Teacher",2025-02-07,"Teacher","Rawlins Elementary School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Early Childhood Education","Early Childhood"
"2286","Music Teacher",2025-02-07,"Teacher","Rawlins Elementary School(High-Needs School)","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Music Education","Music"
"2287","Science Teacher",2025-02-07,"Teacher","Victory High School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Science Education","STEM"
"2288","Automotive Teacher",2025-02-07,"Teacher","Carbon County Higher Education Center","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Technical Education","CTE"
"2289","Math Teacher",2025-02-07,"Teacher","Little Snake River Valley School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Mathematics Education","STEM"
"2290","P.E./Health K-12 Teacher",2025-02-07,"Teacher","Little Snake River Valley School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Physical Education","Physical Education"
"2291","Language Arts Teacher",2025-02-07,"Teacher","Rawlins Middle School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","English Language Arts Education","English Language Arts Secondary"
"2292","Middle School Math Teacher",2025-02-07,"Teacher","Little Snake River Valley School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Mathematics Education","STEM"
"2293","Choir Teacher/Music",2025-02-07,"Teacher","Rawlins Middle School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Music Education","Music"
"2294","High Needs Special Education Teacher",2025-02-07,"Teacher","Rawlins Elementary School(High-Needs School)","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Special Education","Special Education"
"2295","Special Education Teacher",2025-02-07,"Teacher","Little Snake River Valley School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Special Education","Special Education"
"2296","Special Education Teacher",2025-02-07,"Teacher","Rawlins Elementary School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Special Education","Special Education"
"2297","Special Education Teacher",2025-02-07,"Teacher","Rawlins High School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Special Education","Special Education"
"2298","Special Ed. Teacher (High Needs)",2025-02-07,"Teacher","Rawlins Elementary School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Uncategorized","Other"
"2299","Elementary Teacher",2025-02-07,"Teacher","Hanna Elementary School","https://www.applitrack.com/crb2/onlineapp/default.aspx?all=1","Carbon County School District 2","Elementary Education","Elementary"
"2300","Computer Science/Technology Teacher (Grades 7-12)",2025-02-07,"Teacher","Glenrock Jr/Sr High School","https://www.applitrack.com/converse2/onlineapp/default.aspx?all=1","Converse County School Distrcit 2","Computer Science Education","CTE"
"2301","Agriculture Education Teacher (7-12)",2025-02-07,"Teacher","Glenrock Jr/Sr High School","https://www.applitrack.com/converse2/onlineapp/default.aspx?all=1","Converse County School Distrcit 2","Agriculture Education","CTE"
"2302","Welding Teacher (7-12)",2025-02-07,"Teacher","Glenrock Jr/Sr High School","https://www.applitrack.com/converse2/onlineapp/default.aspx?all=1","Converse County School Distrcit 2","Technical Education","CTE"
"2303","Part-time Elementary Teacher",2025-02-07,"Teacher","Elementary Schools","https://www.applitrack.com/ccsd1/onlineapp/default.aspx?all=1","Converse County School District 1","Elementary Education","Elementary"
"2304","Elementary Teacher",2025-02-07,"Teacher","Elementary Schools","https://www.applitrack.com/ccsd1/onlineapp/default.aspx?all=1","Converse County School District 1","Elementary Education","Elementary"
"2305","DMS Band Teacher",2025-02-07,"Teacher","Douglas Middle School","https://www.applitrack.com/ccsd1/onlineapp/default.aspx?all=1","Converse County School District 1","Music Education","Music"
"2306","Special Education Teacher",2025-02-07,"Teacher","Converse County School District #1","https://www.applitrack.com/ccsd1/onlineapp/default.aspx?all=1","Converse County School District 1","Special Education","Special Education"
"2307","Special Education Teacher",2025-02-07,"Teacher","Converse County School District #1","https://www.applitrack.com/ccsd1/onlineapp/default.aspx?all=1","Converse County School District 1","Special Education","Special Education"
"2308","Elementary Art Teacher (2025-2026 School Year)",2025-02-07,"Teacher","Moorcroft Elementary","https://www.applitrack.com/crook/onlineapp/default.aspx?all=1","Crook County school District 1","Elementary Education","Elementary"
"2309","Agriculture Education Teacher",2025-02-07,"Teacher","Hulett K-12","https://www.applitrack.com/crook/onlineapp/default.aspx?all=1","Crook County school District 1","Agriculture Education","CTE"
"2310","Agriculture Education Teacher",2025-02-07,"Teacher","Sundance Secondary","https://www.applitrack.com/crook/onlineapp/default.aspx?all=1","Crook County school District 1","Agriculture Education","CTE"
"2311","K-12 Music Teacher",2025-02-07,"Teacher","Hulett K-12","https://www.applitrack.com/crook/onlineapp/default.aspx?all=1","Crook County school District 1","Music Education","Music"
"2312","Junior High PE Teacher",2025-02-07,"Teacher","Moorcroft Secondary","https://www.applitrack.com/crook/onlineapp/default.aspx?all=1","Crook County school District 1","Physical Education","Physical Education"
"2313","Elementary Teacher",2025-02-07,"Teacher","Gannett Peak Elementary","https://www.applitrack.com/fremontwy/onlineapp/jobpostings/view.asp?all=1","Fremont County School District 1","Elementary Education","Elementary"
"2314","Elementary Teacher",2025-02-07,"Teacher","Baldwin Creek Elementary","https://www.applitrack.com/fremontwy/onlineapp/jobpostings/view.asp?all=1","Fremont County School District 1","Elementary Education","Elementary"
"2315","Music Teacher K-8th Grade (Open Until Filled)",2025-02-07,"Teacher","Fort Washakie Elementary","https://www.applitrack.com/fortwashakieschool/onlineapp/default.aspx?all=1","Fremont County School District 21","Music Education","Music"
"2316","Elementary Teacher",2025-02-07,"Teacher","Fort Washakie Elementary","https://www.applitrack.com/fortwashakieschool/onlineapp/default.aspx?all=1","Fremont County School District 21","Elementary Education","Elementary"
"2317","Math Teacher - Middle School 2025-2026 School Year",2025-02-07,"Teacher","Fort Washakie Middle School","https://www.applitrack.com/fortwashakieschool/onlineapp/default.aspx?all=1","Fremont County School District 21","Mathematics Education","STEM"
"2318","Special Education Teachers - Life Skills - Open until Filled",2025-02-07,"Teacher","Fort Washakie Elementary","https://www.applitrack.com/fortwashakieschool/onlineapp/default.aspx?all=1","Fremont County School District 21","Special Education","Special Education"
"2319","Special Education Teachers (Grades K-12)",2025-02-07,"Teacher","Fort Washakie Middle School","https://www.applitrack.com/fortwashakieschool/onlineapp/default.aspx?all=1","Fremont County School District 21","Special Education","Special Education"
"2320","Music Teacher",2025-02-07,"Teacher","Fremont County School District 38","https://www.applitrack.com/fcsd38/onlineapp/default.aspx?all=1","Fremont County School District 38","Music Education","Music"
"2321","Music Teacher",2025-02-07,"Teacher","Fremont County School District 38","https://www.applitrack.com/fcsd38/onlineapp/default.aspx?all=1","Fremont County School District 38","Music Education","Music"
"2322","Elementary Teacher",2025-02-07,"Teacher","Fremont County School District 38","https://www.applitrack.com/fcsd38/onlineapp/default.aspx?all=1","Fremont County School District 38","Elementary Education","Elementary"
"2323","High School Math Teacher",2025-02-07,"Teacher","Fremont County School District 38","https://www.applitrack.com/fcsd38/onlineapp/default.aspx?all=1","Fremont County School District 38","Mathematics Education","STEM"
"2324","Special Education Teacher",2025-02-07,"Teacher","Fremont County School District 38","https://www.applitrack.com/fcsd38/onlineapp/default.aspx?all=1","Fremont County School District 38","Special Education","Special Education"
"2325","Special Education Teacher",2025-02-07,"Teacher","Fremont County School District 38","https://www.applitrack.com/fcsd38/onlineapp/default.aspx?all=1","Fremont County School District 38","Special Education","Special Education"
"2326","Industrial Arts Teacher (Secondary)",2025-02-07,"Teacher","Wind River Middle/High School","https://www.applitrack.com/fre6/onlineapp/default.aspx?all=1","Fremont County School District 6","Technical Education","CTE"
"2327","Athletic Director/Teacher",2025-02-07,"Teacher","District Wide","https://www.applitrack.com/fremont14/onlineapp/default.aspx?all=1","Fremont County School District 14","Uncategorized","Other"
"2328","High School Social Studies Teacher",2025-02-07,"Teacher","Wyoming Indian High School","https://www.applitrack.com/fremont14/onlineapp/default.aspx?all=1","Fremont County School District 14","Social Studies Education","Secondary Social Studies"
"2329","Elementary Special Education Teacher",2025-02-07,"Teacher","Wyoming Indian Elementary School","https://www.applitrack.com/fremont14/onlineapp/default.aspx?all=1","Fremont County School District 14","Special Education","Special Education"
"2330","Elementary Education Teacher",2025-02-07,"Teacher","Ralph Witters Elementary School","https://www.applitrack.com/hotsprings1/onlineapp/default.aspx?all=1","Hot Springs School District 1","Elementary Education","Elementary"
"2331","HS English Teacher",2025-02-07,"Teacher","Hot Springs County School District #1","https://www.applitrack.com/hotsprings1/onlineapp/default.aspx?all=1","Hot Springs School District 1","English Language Arts Education","English Language Arts Secondary"
"2332","Special Education Teacher",2025-02-07,"Teacher","Cloud Peak Elementary School","https://www.applitrack.com/jcsd1/onlineapp/jobpostings/view.asp?internaltransferform.Url=&all=1","Johnson County School District 1","Special Education","Special Education"
"2333","K-12 Special Education Teacher",2025-02-07,"Teacher","Canyon Elementary School","https://www.applitrack.com/rangers1/onlineapp/default.aspx?all=1","Lincoln County School District 1","Special Education","Special Education"
"2334","Fifth Grade Teacher",2025-02-07,"Teacher","Westside Elementary School","https://www.applitrack.com/park1/onlineapp/default.aspx?all=1","Park County School District 1","Elementary Education","Elementary"
"2335","Industrial Arts Teacher",2025-02-07,"Teacher","Powell High School","https://www.applitrack.com/park1/onlineapp/default.aspx?all=1","Park County School District 1","Technical Education","CTE"
"2336","Special Education Teacher",2025-02-07,"Teacher","Powell Middle School","https://www.applitrack.com/park1/onlineapp/default.aspx?all=1","Park County School District 1","Special Education","Special Education"
"2337","Physical Education/Health Teacher",2025-02-07,"Teacher","Cody High School","https://www.applitrack.com/park6/onlineapp/default.aspx?all=1","Park County School District 6","Physical Education","Physical Education"
"2338","Special Education Resource Teacher",2025-02-07,"Teacher","Cody Middle School","https://www.applitrack.com/park6/onlineapp/default.aspx?all=1","Park County School District 6","Special Education","Special Education"
"2339","BHHS Math Teacher",2025-02-07,"Teacher","Big Horn High School","https://www.applitrack.com/sheridanwy/onlineapp/default.aspx?all=1","Sheridan County School District 1","Mathematics Education","STEM"
"2340","Vocational Agriculture Teacher and FFA Sponsor",2025-02-07,"Teacher","Big Horn High School","https://www.applitrack.com/sheridanwy/onlineapp/default.aspx?all=1","Sheridan County School District 1","Agriculture Education","CTE"
"2341","Elementary Teacher",2025-02-07,"Teacher","Big Piney Elementary","https://www.applitrack.com/sublette/onlineapp/default.aspx?all=1","Sublette County School District 9","Elementary Education","Elementary"
"2342","English/Language Arts (2)",2025-02-07,"Teacher","Rock Springs High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","English Language Arts Education","English Language Arts Secondary"
"2343","JROTC Army Non-Senior Military Instructor",2025-02-07,"Teacher","Rock Springs High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Uncategorized","Other"
"2344","Library Media Specialist 4-6",2025-02-07,"Teacher","District Wide","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Uncategorized","Other"
"2345","Math Teacher (2)",2025-02-07,"Teacher","Rock Springs High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Mathematics Education","STEM"
"2346","Music Teacher (2) 4-6",2025-02-07,"Teacher","District Wide","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Music Education","Music"
"2347","Music Teacher K-3",2025-02-07,"Teacher","District Wide","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Music Education","Music"
"2348","PE/Health Teacher-K-3",2025-02-07,"Teacher","District Wide","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Physical Education","Physical Education"
"2349","Science Teacher (2)",2025-02-07,"Teacher","Rock Springs High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Science Education","STEM"
"2350","Resource Teacher",2025-02-07,"Teacher","Walnut Elementary","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Special Education","Special Education"
"2351","Resource Teacher (2)",2025-02-07,"Teacher","Rock Springs Junior High","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Special Education","Special Education"
"2352","Resource Teacher (3)",2025-02-07,"Teacher","Rock Springs High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Special Education","Special Education"
"2353","Alternative Academic-Daily Living Skills Program Teacher",2025-02-07,"Teacher","Rock Springs High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Uncategorized","Other"
"2354","Early Head Start Part-Time Teacher",2025-02-07,"Teacher","Overland Elementary","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Uncategorized","Other"
"2355","Elementary Teacher",2025-02-07,"Teacher","District Wide","https://www.applitrack.com/uinta/onlineapp/jobpostings/view.asp?all=1","Uinta County School District 1","Elementary Education","Elementary"
"2356","Media Director/Computer Science Teacher",2025-02-07,"Teacher","Aspen Elementary","https://www.applitrack.com/uinta/onlineapp/jobpostings/view.asp?all=1","Uinta County School District 1","Computer Science Education","CTE"
"2357","Secondary Math Teacher",2025-02-07,"Teacher","Evanston High School","https://www.applitrack.com/uinta/onlineapp/jobpostings/view.asp?all=1","Uinta County School District 1","Mathematics Education","STEM"
"2358","SPED Life Skills Teacher",2025-02-07,"Teacher","North Evanston Elementary","https://www.applitrack.com/uinta/onlineapp/jobpostings/view.asp?all=1","Uinta County School District 1","Special Education","Special Education"
"2359","SPED Resource Teacher",2025-02-07,"Teacher","District Wide","https://www.applitrack.com/uinta/onlineapp/jobpostings/view.asp?all=1","Uinta County School District 1","Special Education","Special Education"
"2360","Math Teacher",2025-02-07,"Teacher","CAMPBELL COUNTY HIGH SCHOOL","https://campbell.tedk12.com/hire/index.aspx","Campbell County Scholl District 1","Mathematics Education","STEM"
"2361","Foreign Language Teacher - German",2025-02-07,"Teacher","CAMPBELL COUNTY HIGH SCHOOL","https://campbell.tedk12.com/hire/index.aspx","Campbell County Scholl District 1","Language Education","Lanugage"
"2362","English Teacher",2025-02-07,"Teacher","CAMPBELL COUNTY HIGH SCHOOL","https://campbell.tedk12.com/hire/index.aspx","Campbell County Scholl District 1","English Language Arts Education","English Language Arts Secondary"
"2363","Adapted Physical Education Teacher",2025-02-07,"Teacher","SPECIAL SERVICES CENTER","https://campbell.tedk12.com/hire/index.aspx","Campbell County Scholl District 1","Physical Education","Physical Education"
"2364","Art Teacher",2025-02-07,"Teacher","MEADOWLARK ELEMENTARY","https://campbell.tedk12.com/hire/index.aspx","Campbell County Scholl District 1","Art Teacher","Art"
"2365","Music Teacher",2025-02-07,"Teacher","COTTONWOOD ELEMENTARY","https://campbell.tedk12.com/hire/index.aspx","Campbell County Scholl District 1","Music Education","Music"
"2366","Business Education Teacher (1/2 time) - Southeast Jr/Sr High School",2025-02-07,"Teacher","Southeast Jr - Sr High School","https://goshen.tedk12.com/hire/index.aspx#aJobListings","Goshen County School District 1","Business and Economics","CTE"
"2367","Teacher - Special Education (Lingle Ft. Laramie Elementary School)",2025-02-07,"Teacher","Lingle Ft. Laramie Elementary School","https://goshen.tedk12.com/hire/index.aspx#aJobListings","Goshen County School District 1","Special Education","Special Education"
"2368","Teacher - Band (Torrington High School & Torrington Middle School)",2025-02-07,"Teacher","Torrington Middle and High Schools","https://goshen.tedk12.com/hire/index.aspx#aJobListings","Goshen County School District 1","Music Education","Music"
"2369","Academic Interventionist [TO23] - Remainder 2024/2025 Contract Year only",2025-02-07,"Teacher","JOHNSON JUNIOR HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Uncategorized","Other"
"2370","Resource Teacher [XT21]",2025-02-07,"Teacher","BUFFALO RIDGE ELEMENTARY SCHL","https://laramie1.schoolspring.com/","Laramie County School District 1","Special Education","Special Education"
"2371","ESL Teacher - Secondary",2025-02-07,"Teacher","SOUTH HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Language Education","Lanugage"
"2372","2nd Grade Spanish Dual Language Immersion Teacher",2025-02-07,"Teacher","AFFLERBACH ELEMENTARY SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Elementary Education","Elementary"
