"","title","Archive_Date","position","location","url","District","Category","Broad_Category"
"117","Special Ed. Teacher (High Needs)",2024-08-09,"Teacher","Rawlins Elementary School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Uncategorized","Other"
"118","Rawlins High School Special Education Teacher",2024-08-09,"Teacher","Rawlins High School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Special Education","Special Education"
"119","Physical Education Teacher",2024-08-09,"Teacher","H-E-M Junior/Senior High School","https://www.applitrack.com/crb2/onlineapp/default.aspx?all=1","Carbon County School District 2","Physical Education","Physical Education"
"120","Music Teacher K-8th Grade (Open Until Filled)",2024-08-09,"Teacher","Fort Washakie Elementary","https://www.applitrack.com/fortwashakieschool/onlineapp/default.aspx?all=1","Fremont County School District 21","Music Education","Music"
"121","Family and Consumer Science Teacher",2024-08-09,"Teacher","Fremont County School District 21","https://www.applitrack.com/fortwashakieschool/onlineapp/default.aspx?all=1","Fremont County School District 21","Family and Consumer Science","CTE"
"122","Special Education Teachers",2024-08-09,"Teacher","Fort Washakie Elementary","https://www.applitrack.com/fortwashakieschool/onlineapp/default.aspx?all=1","Fremont County School District 21","Special Education","Special Education"
"123","Certified Arapaho Language/Culture Teacher",2024-08-09,"Teacher","Fremont County School District 38","https://www.applitrack.com/fcsd38/onlineapp/default.aspx?all=1","Fremont County School District 38","Language Education","Lanugage"
"124","Music Teacher",2024-08-09,"Teacher","Fremont County School District 38","https://www.applitrack.com/fcsd38/onlineapp/default.aspx?all=1","Fremont County School District 38","Music Education","Music"
"125","Music Teacher",2024-08-09,"Teacher","Fremont County School District 38","https://www.applitrack.com/fcsd38/onlineapp/default.aspx?all=1","Fremont County School District 38","Music Education","Music"
"126","Elementary Teacher",2024-08-09,"Teacher","Fremont County School District 38","https://www.applitrack.com/fcsd38/onlineapp/default.aspx?all=1","Fremont County School District 38","Elementary Education","Elementary"
"127","High School Math Teacher",2024-08-09,"Teacher","Fremont County School District 38","https://www.applitrack.com/fcsd38/onlineapp/default.aspx?all=1","Fremont County School District 38","Mathematics Education","STEM"
"128","Special Education Teacher",2024-08-09,"Teacher","Fremont County School District 38","https://www.applitrack.com/fcsd38/onlineapp/default.aspx?all=1","Fremont County School District 38","Special Education","Special Education"
"129","Special Education Teacher",2024-08-09,"Teacher","Fremont County School District 38","https://www.applitrack.com/fcsd38/onlineapp/default.aspx?all=1","Fremont County School District 38","Special Education","Special Education"
