"","Category","Archive_Date","Institution","sum"
"287","History",2025-07-11,"Total",3
"288","History",2025-07-18,"Total",3
"289","History",2025-07-25,"Total",3
"290","History",2025-08-01,"Total",3
"291","History",2025-08-08,"Total",3
"292","History",2025-08-15,"Total",3
"293","History",2025-08-22,"Total",3
"294","History",2025-08-29,"Total",3
"295","History",2025-09-05,"Total",3
"296","History",2025-09-12,"Total",3
"297","History",2025-09-19,"Total",3
"298","History",2025-09-26,"Total",3
"299","History",2025-10-03,"Total",3
"300","History",2025-10-10,"Total",3
"301","History",2025-10-17,"Total",3
"302","History",2025-10-24,"Total",3
"303","History",2025-10-31,"Total",3
"304","History",2025-11-07,"Total",3
"305","History",2025-11-14,"Total",3
"306","History",2025-11-21,"Total",3
"307","History",2025-11-28,"Total",3
"308","History",2025-12-05,"Total",3
"309","History",2025-12-12,"Total",3
"310","History",2025-12-19,"Total",4
"311","History",2025-12-26,"Total",4
"312","History",2026-01-02,"Total",4
"313","History",2026-01-09,"Total",4
"314","History",2026-01-16,"Total",4
"315","History",2026-01-23,"Total",4
"316","History",2026-01-30,"Total",4
"317","History",2026-02-06,"Total",4
"318","History",2026-02-13,"Total",4
"319","History",2026-02-20,"Total",4
"320","History",2026-02-27,"Total",4
"321","Humanities",2024-08-09,"Total",5
"322","Humanities",2024-08-16,"Total",6
"323","Humanities",2024-08-23,"Total",6
"324","Humanities",2024-08-30,"Total",6
"325","Humanities",2024-09-06,"Total",6
"326","Humanities",2024-09-13,"Total",6
"327","Humanities",2024-09-20,"Total",6
"328","Humanities",2024-09-27,"Total",9
"329","Humanities",2024-10-04,"Total",9
"330","Humanities",2024-10-11,"Total",9
"331","Humanities",2024-10-18,"Total",10
"332","Humanities",2024-10-25,"Total",10
"333","Humanities",2024-11-01,"Total",10
"334","Humanities",2024-11-08,"Total",10
"335","Humanities",2024-11-15,"Total",10
"336","Humanities",2024-11-22,"Total",10
"337","Humanities",2024-11-29,"Total",10
"338","Humanities",2024-12-06,"Total",7
"339","Humanities",2024-12-13,"Total",7
"340","Humanities",2024-12-20,"Total",7
"341","Humanities",2024-12-27,"Total",7
"342","Humanities",2025-01-03,"Total",6
"343","Humanities",2025-01-10,"Total",6
"344","Humanities",2025-01-17,"Total",6
"345","Humanities",2025-01-24,"Total",5
"346","Humanities",2025-01-31,"Total",5
"347","Humanities",2025-02-07,"Total",5
"348","Humanities",2025-02-14,"Total",4
"349","Humanities",2025-02-21,"Total",4
"350","Humanities",2025-02-28,"Total",4
"351","Humanities",2025-03-07,"Total",3
"352","Humanities",2025-03-14,"Total",4
"353","Humanities",2025-03-21,"Total",4
"354","Humanities",2025-03-28,"Total",4
"355","Humanities",2025-04-04,"Total",4
"356","Humanities",2025-04-11,"Total",4
"357","Humanities",2025-04-18,"Total",4
"358","Humanities",2025-04-25,"Total",3
"359","Humanities",2025-05-02,"Total",2
"360","Humanities",2025-05-09,"Total",2
"361","Humanities",2025-05-16,"Total",4
"362","Humanities",2025-05-23,"Total",4
"363","Humanities",2025-05-30,"Total",6
"364","Humanities",2025-06-06,"Total",6
"365","Humanities",2025-06-13,"Total",6
"366","Humanities",2025-06-20,"Total",7
"367","Humanities",2025-06-27,"Total",8
"368","Humanities",2025-07-04,"Total",8
"369","Humanities",2025-07-11,"Total",8
"370","Humanities",2025-07-18,"Total",8
"371","Humanities",2025-07-25,"Total",8
"372","Humanities",2025-08-01,"Total",12
"373","Humanities",2025-08-08,"Total",12
"374","Humanities",2025-08-15,"Total",13
